Time,Date,Time,Temp,Ch1,Ch2,Ch3,Ch4
3407,26-06-2024,12:03:58,18.578,9.168,9.043,8.054,9.086
3408,26-06-2024,12:04:02,18.574,9.164,9.045,8.053,9.084
3409,26-06-2024,12:04:06,18.579,9.167,9.061,8.052,9.084
3410,26-06-2024,12:04:10,18.577,9.164,9.048,8.063,9.077
3411,26-06-2024,12:04:14,18.578,9.167,9.05,8.065,9.081
3412,26-06-2024,12:04:18,18.581,9.162,9.044,8.064,9.079
3413,26-06-2024,12:04:22,18.581,9.162,9.05,8.066,9.076
3414,26-06-2024,12:04:26,18.581,9.164,9.045,8.067,9.069
3415,26-06-2024,12:04:30,18.582,9.163,9.047,8.07,9.077
3416,26-06-2024,12:04:34,18.582,9.162,9.051,8.075,9.067
3417,26-06-2024,12:04:38,18.581,9.163,9.05,8.072,9.066
3418,26-06-2024,12:04:42,18.583,9.16,9.044,8.08,9.06
3419,26-06-2024,12:04:46,18.585,9.168,9.051,8.082,9.063
3420,26-06-2024,12:04:50,18.584,9.157,9.051,8.085,9.063
3421,26-06-2024,12:04:54,18.578,9.166,9.053,8.093,9.059
3422,26-06-2024,12:04:58,18.58,9.169,9.051,8.093,9.057
3423,26-06-2024,12:05:02,18.585,9.162,9.047,8.098,9.058
3424,26-06-2024,12:05:06,18.59,9.167,9.05,8.102,9.063
3425,26-06-2024,12:05:10,18.591,9.166,9.045,8.101,9.06
3426,26-06-2024,12:05:14,18.589,9.166,9.045,8.106,9.062
3427,26-06-2024,12:05:18,18.591,9.168,9.048,8.112,9.055
3428,26-06-2024,12:05:22,18.588,9.164,9.048,8.116,9.044
3429,26-06-2024,12:05:26,18.587,9.166,9.047,8.119,9.049
3430,26-06-2024,12:05:30,18.59,9.165,9.046,8.124,9.047
3431,26-06-2024,12:05:34,18.59,9.165,9.051,8.131,9.041
3432,26-06-2024,12:05:38,18.592,9.161,9.041,8.137,9.046
3433,26-06-2024,12:05:42,18.591,9.161,9.044,8.136,9.038
3434,26-06-2024,12:05:46,18.591,9.163,9.054,8.143,9.032
3435,26-06-2024,12:05:50,18.592,9.16,9.046,8.146,9.038
3436,26-06-2024,12:05:54,18.594,9.159,9.048,8.149,9.03
3437,26-06-2024,12:05:58,18.594,9.16,9.041,8.158,9.028
3438,26-06-2024,12:06:02,18.595,9.16,9.051,8.163,9.021
3439,26-06-2024,12:06:06,18.593,9.166,9.044,8.161,9.025
3440,26-06-2024,12:06:10,18.594,9.164,9.046,8.165,9.02
3441,26-06-2024,12:06:14,18.592,9.162,9.052,8.175,9.017
3442,26-06-2024,12:06:18,18.597,9.158,9.049,8.177,9.013
3443,26-06-2024,12:06:22,18.595,9.163,9.048,8.181,9.01
3444,26-06-2024,12:06:26,18.599,9.162,9.049,8.182,9.014
3445,26-06-2024,12:06:30,18.596,9.16,9.05,8.193,9.011
3446,26-06-2024,12:06:34,18.597,9.165,9.052,8.195,9.002
3447,26-06-2024,12:06:38,18.602,9.157,9.049,8.203,9
3448,26-06-2024,12:06:42,18.597,9.158,9.045,8.208,8.999
3449,26-06-2024,12:06:46,18.596,9.155,9.052,8.206,8.998
3450,26-06-2024,12:06:50,18.601,9.158,9.052,8.208,8.996
3451,26-06-2024,12:06:54,18.603,9.16,9.043,8.214,8.994
3452,26-06-2024,12:06:58,18.602,9.157,9.044,8.22,8.995
3453,26-06-2024,12:07:02,18.597,9.16,9.052,8.227,8.99
3454,26-06-2024,12:07:06,18.601,9.162,9.045,8.231,8.99
3455,26-06-2024,12:07:10,18.6,9.156,9.05,8.231,8.986
3456,26-06-2024,12:07:14,18.604,9.159,9.048,8.234,8.99
3457,26-06-2024,12:07:18,18.601,9.16,9.051,8.243,8.99
3458,26-06-2024,12:07:22,18.605,9.158,9.047,8.239,8.988
3459,26-06-2024,12:07:26,18.603,9.162,9.049,8.248,8.987
3460,26-06-2024,12:07:30,18.606,9.159,9.049,8.251,8.987
3461,26-06-2024,12:07:34,18.609,9.162,9.05,8.253,8.98
3462,26-06-2024,12:07:38,18.605,9.163,9.045,8.255,8.973
3463,26-06-2024,12:07:42,18.608,9.163,9.046,8.257,8.981
3464,26-06-2024,12:07:46,18.608,9.152,9.049,8.266,8.976
3465,26-06-2024,12:07:50,18.606,9.159,9.053,8.268,8.975
3466,26-06-2024,12:07:54,18.609,9.155,9.046,8.277,8.969
3467,26-06-2024,12:07:58,18.607,9.152,9.045,8.278,8.977
3468,26-06-2024,12:08:02,18.611,9.157,9.049,8.286,8.968
3469,26-06-2024,12:08:06,18.61,9.156,9.048,8.287,8.965
3470,26-06-2024,12:08:10,18.61,9.154,9.045,8.285,8.97
3471,26-06-2024,12:08:14,18.61,9.162,9.04,8.296,8.961
3472,26-06-2024,12:08:18,18.612,9.158,9.044,8.304,8.965
3473,26-06-2024,12:08:22,18.613,9.157,9.056,8.299,8.949
3474,26-06-2024,12:08:26,18.612,9.158,9.046,8.307,8.957
3475,26-06-2024,12:08:30,18.612,9.154,9.058,8.314,8.954
3476,26-06-2024,12:08:34,18.614,9.151,9.049,8.308,8.956
3477,26-06-2024,12:08:38,18.614,9.154,9.056,8.314,8.956
3478,26-06-2024,12:08:42,18.615,9.156,9.052,8.318,8.948
3479,26-06-2024,12:08:46,18.614,9.157,9.047,8.321,8.946
3480,26-06-2024,12:08:50,18.613,9.159,9.047,8.323,8.953
3481,26-06-2024,12:08:54,18.615,9.156,9.049,8.328,8.941
3482,26-06-2024,12:08:58,18.616,9.157,9.043,8.333,8.944
3483,26-06-2024,12:09:02,18.615,9.15,9.044,8.331,8.94
3484,26-06-2024,12:09:06,18.618,9.154,9.049,8.34,8.94
3485,26-06-2024,12:09:10,18.618,9.152,9.051,8.339,8.941
3486,26-06-2024,12:09:14,18.615,9.15,9.046,8.347,8.939
3487,26-06-2024,12:09:18,18.617,9.149,9.043,8.349,8.935
3488,26-06-2024,12:09:22,18.62,9.154,9.042,8.349,8.929
3489,26-06-2024,12:09:26,18.618,9.154,9.044,8.357,8.928
3490,26-06-2024,12:09:30,18.623,9.152,9.048,8.356,8.93
3491,26-06-2024,12:09:34,18.621,9.15,9.047,8.358,8.928
3492,26-06-2024,12:09:38,18.619,9.149,9.053,8.357,8.936
3493,26-06-2024,12:09:42,18.621,9.147,9.04,8.368,8.925
3494,26-06-2024,12:09:46,18.617,9.147,9.045,8.363,8.928
3495,26-06-2024,12:09:50,18.621,9.154,9.046,8.367,8.926
3496,26-06-2024,12:09:54,18.628,9.156,9.044,8.371,8.922
3497,26-06-2024,12:09:58,18.626,9.147,9.042,8.366,8.917
3498,26-06-2024,12:10:02,18.623,9.151,9.055,8.38,8.916
3499,26-06-2024,12:10:06,18.624,9.145,9.04,8.375,8.925
3500,26-06-2024,12:10:10,18.629,9.147,9.046,8.378,8.922
3501,26-06-2024,12:10:14,18.624,9.148,9.045,8.385,8.91
3502,26-06-2024,12:10:18,18.624,9.152,9.044,8.388,8.912
3503,26-06-2024,12:10:22,18.627,9.145,9.04,8.388,8.911
3504,26-06-2024,12:10:26,18.624,9.147,9.051,8.389,8.918
3505,26-06-2024,12:10:30,18.628,9.143,9.046,8.382,8.912
3506,26-06-2024,12:10:34,18.628,9.148,9.046,8.395,8.909
3507,26-06-2024,12:10:38,18.63,9.148,9.044,8.396,8.906
3508,26-06-2024,12:10:42,18.628,9.144,9.043,8.402,8.906
3509,26-06-2024,12:10:46,18.628,9.142,9.043,8.407,8.904
3510,26-06-2024,12:10:50,18.63,9.15,9.039,8.41,8.901
3511,26-06-2024,12:10:54,18.632,9.147,9.041,8.404,8.897
3512,26-06-2024,12:10:58,18.63,9.145,9.045,8.415,8.895
3513,26-06-2024,12:11:02,18.633,9.147,9.042,8.412,8.896
3514,26-06-2024,12:11:06,18.634,9.146,9.042,8.411,8.897
3515,26-06-2024,12:11:10,18.633,9.149,9.044,8.413,8.895
3516,26-06-2024,12:11:14,18.633,9.148,9.046,8.42,8.893
3517,26-06-2024,12:11:18,18.635,9.144,9.041,8.417,8.885
3518,26-06-2024,12:11:22,18.636,9.149,9.046,8.422,8.889
3519,26-06-2024,12:11:26,18.638,9.138,9.044,8.422,8.889
3520,26-06-2024,12:11:30,18.634,9.147,9.044,8.424,8.884
3521,26-06-2024,12:11:34,18.638,9.142,9.041,8.433,8.89
3522,26-06-2024,12:11:38,18.634,9.147,9.043,8.429,8.891
3523,26-06-2024,12:11:42,18.634,9.145,9.042,8.438,8.885
3524,26-06-2024,12:11:46,18.639,9.141,9.04,8.439,8.878
3525,26-06-2024,12:11:50,18.635,9.143,9.031,8.438,8.881
3526,26-06-2024,12:11:54,18.64,9.142,9.035,8.446,8.878
3527,26-06-2024,12:11:58,18.638,9.138,9.034,8.45,8.877
3528,26-06-2024,12:12:02,18.639,9.147,9.031,8.448,8.873
3529,26-06-2024,12:12:06,18.641,9.147,9.036,8.451,8.871
3530,26-06-2024,12:12:10,18.639,9.144,9.041,8.449,8.875
3531,26-06-2024,12:12:14,18.637,9.146,9.04,8.447,8.873
3532,26-06-2024,12:12:18,18.64,9.136,9.042,8.454,8.875
3533,26-06-2024,12:12:22,18.643,9.137,9.034,8.455,8.865
3534,26-06-2024,12:12:26,18.645,9.138,9.038,8.448,8.87
3535,26-06-2024,12:12:30,18.644,9.131,9.033,8.453,8.861
3536,26-06-2024,12:12:34,18.643,9.135,9.035,8.45,8.865
3537,26-06-2024,12:12:38,18.64,9.139,9.034,8.449,8.858
3538,26-06-2024,12:12:42,18.642,9.129,9.036,8.449,8.852
3539,26-06-2024,12:12:46,18.641,9.128,9.031,8.448,8.853
3540,26-06-2024,12:12:50,18.641,9.13,9.031,8.445,8.849
3541,26-06-2024,12:12:54,18.641,9.127,9.033,8.446,8.836
3542,26-06-2024,12:12:58,18.64,9.121,9.034,8.435,8.838
3543,26-06-2024,12:13:02,18.642,9.116,9.029,8.434,8.836
3544,26-06-2024,12:13:06,18.644,9.126,9.022,8.43,8.824
3545,26-06-2024,12:13:10,18.645,9.125,9.026,8.429,8.824
3546,26-06-2024,12:13:14,18.647,9.12,9.013,8.425,8.821
3547,26-06-2024,12:13:18,18.649,9.118,9.023,8.419,8.814
3548,26-06-2024,12:13:22,18.647,9.116,9.016,8.418,8.809
3549,26-06-2024,12:13:26,18.647,9.118,9.01,8.409,8.807
3550,26-06-2024,12:13:30,18.645,9.112,9.011,8.408,8.802
3551,26-06-2024,12:13:34,18.646,9.114,9.014,8.4,8.791
3552,26-06-2024,12:13:38,18.646,9.11,9.014,8.395,8.784
3553,26-06-2024,12:13:42,18.645,9.105,9.007,8.392,8.783
3554,26-06-2024,12:13:46,18.647,9.102,9.005,8.384,8.776
3555,26-06-2024,12:13:50,18.648,9.095,9.001,8.375,8.772
3556,26-06-2024,12:13:54,18.651,9.101,9,8.372,8.762
3557,26-06-2024,12:13:58,18.652,9.099,9,8.366,8.755
3558,26-06-2024,12:14:02,18.647,9.1,9.004,8.367,8.756
3559,26-06-2024,12:14:06,18.648,9.087,8.995,8.358,8.746
3560,26-06-2024,12:14:10,18.651,9.081,8.987,8.351,8.738
3561,26-06-2024,12:14:14,18.652,9.08,8.981,8.343,8.738
3562,26-06-2024,12:14:18,18.652,9.081,8.981,8.335,8.735
3563,26-06-2024,12:14:22,18.651,9.078,8.98,8.33,8.726
3564,26-06-2024,12:14:26,18.65,9.071,8.977,8.321,8.718
3565,26-06-2024,12:14:30,18.65,9.066,8.981,8.322,8.717
3566,26-06-2024,12:14:34,18.653,9.066,8.965,8.311,8.706
3567,26-06-2024,12:14:38,18.653,9.066,8.96,8.307,8.697
3568,26-06-2024,12:14:42,18.655,9.057,8.969,8.3,8.693
3569,26-06-2024,12:14:46,18.654,9.055,8.96,8.295,8.689
3570,26-06-2024,12:14:50,18.655,9.054,8.958,8.291,8.675
3571,26-06-2024,12:14:54,18.658,9.047,8.956,8.279,8.675
3572,26-06-2024,12:14:58,18.653,9.042,8.955,8.272,8.674
3573,26-06-2024,12:15:02,18.655,9.038,8.953,8.271,8.664
3574,26-06-2024,12:15:06,18.657,9.032,8.951,8.265,8.653
3575,26-06-2024,12:15:10,18.657,9.029,8.945,8.257,8.647
3576,26-06-2024,12:15:14,18.658,9.023,8.942,8.252,8.64
3577,26-06-2024,12:15:18,18.655,9.025,8.936,8.244,8.644
3578,26-06-2024,12:15:22,18.659,9.02,8.937,8.236,8.631
3579,26-06-2024,12:15:26,18.656,9.024,8.931,8.232,8.629
3580,26-06-2024,12:15:30,18.66,9.015,8.934,8.225,8.624
3581,26-06-2024,12:15:34,18.659,9.009,8.925,8.217,8.619
3582,26-06-2024,12:15:38,18.659,8.999,8.917,8.208,8.617
3583,26-06-2024,12:15:42,18.659,8.981,8.917,8.202,8.605
3584,26-06-2024,12:15:46,18.662,8.978,8.918,8.198,8.598
3585,26-06-2024,12:15:50,18.662,8.965,8.912,8.191,8.591
3586,26-06-2024,12:15:54,18.664,8.956,8.901,8.181,8.592
3587,26-06-2024,12:15:58,18.662,8.953,8.898,8.174,8.592
3588,26-06-2024,12:16:02,18.661,8.944,8.896,8.171,8.572
3589,26-06-2024,12:16:06,18.663,8.937,8.895,8.162,8.574
3590,26-06-2024,12:16:10,18.662,8.928,8.894,8.156,8.56
3591,26-06-2024,12:16:14,18.663,8.933,8.893,8.143,8.561
3592,26-06-2024,12:16:18,18.661,8.93,8.889,8.141,8.553
3593,26-06-2024,12:16:22,18.665,8.924,8.877,8.136,8.542
3594,26-06-2024,12:16:26,18.662,8.92,8.874,8.124,8.544
3595,26-06-2024,12:16:30,18.664,8.918,8.88,8.119,8.538
3596,26-06-2024,12:16:34,18.663,8.917,8.871,8.112,8.531
3597,26-06-2024,12:16:38,18.662,8.916,8.873,8.111,8.52
3598,26-06-2024,12:16:42,18.664,8.918,8.866,8.105,8.522
3599,26-06-2024,12:16:46,18.664,8.915,8.862,8.099,8.507
3600,26-06-2024,12:16:50,18.669,8.909,8.853,8.087,8.508
3601,26-06-2024,12:16:54,18.665,8.907,8.857,8.084,8.505
3602,26-06-2024,12:16:58,18.665,8.903,8.853,8.076,8.495
3603,26-06-2024,12:17:02,18.668,8.895,8.853,8.072,8.496
3604,26-06-2024,12:17:06,18.668,8.895,8.851,8.063,8.485
3605,26-06-2024,12:17:10,18.672,8.887,8.843,8.053,8.482
3606,26-06-2024,12:17:14,18.666,8.884,8.845,8.048,8.479
3607,26-06-2024,12:17:18,18.668,8.879,8.84,8.043,8.472
3608,26-06-2024,12:17:22,18.67,8.876,8.838,8.039,8.472
3609,26-06-2024,12:17:26,18.672,8.867,8.833,8.035,8.46
3610,26-06-2024,12:17:30,18.668,8.865,8.825,8.033,8.461
3611,26-06-2024,12:17:34,18.676,8.853,8.82,8.02,8.456
3612,26-06-2024,12:17:38,18.674,8.855,8.82,8.024,8.453
3613,26-06-2024,12:17:42,18.679,8.847,8.822,8.018,8.447
3614,26-06-2024,12:17:46,18.677,8.844,8.814,8.023,8.44
3615,26-06-2024,12:17:50,18.675,8.837,8.813,8.017,8.438
3616,26-06-2024,12:17:54,18.677,8.84,8.803,8.019,8.435
3617,26-06-2024,12:17:58,18.674,8.839,8.802,8.017,8.439
3618,26-06-2024,12:18:02,18.674,8.839,8.803,8.022,8.431
3619,26-06-2024,12:18:06,18.675,8.831,8.801,8.02,8.435
3620,26-06-2024,12:18:10,18.681,8.83,8.798,8.022,8.434
3621,26-06-2024,12:18:14,18.68,8.826,8.796,8.026,8.428
3622,26-06-2024,12:18:18,18.68,8.827,8.796,8.027,8.422
3623,26-06-2024,12:18:22,18.678,8.826,8.795,8.039,8.429
3624,26-06-2024,12:18:26,18.68,8.827,8.792,8.036,8.417
3625,26-06-2024,12:18:30,18.682,8.818,8.797,8.043,8.42
3626,26-06-2024,12:18:34,18.683,8.823,8.796,8.044,8.419
3627,26-06-2024,12:18:38,18.687,8.821,8.79,8.044,8.415
3628,26-06-2024,12:18:42,18.686,8.822,8.793,8.048,8.417
3629,26-06-2024,12:18:46,18.689,8.823,8.796,8.054,8.415
3630,26-06-2024,12:18:50,18.686,8.823,8.788,8.062,8.409
3631,26-06-2024,12:18:54,18.686,8.814,8.793,8.06,8.413
3632,26-06-2024,12:18:58,18.686,8.82,8.791,8.068,8.413
3633,26-06-2024,12:19:02,18.686,8.813,8.79,8.074,8.408
3634,26-06-2024,12:19:06,18.687,8.815,8.785,8.072,8.409
3635,26-06-2024,12:19:10,18.688,8.811,8.788,8.082,8.41
3636,26-06-2024,12:19:14,18.686,8.817,8.791,8.089,8.409
3637,26-06-2024,12:19:18,18.687,8.82,8.787,8.09,8.413
3638,26-06-2024,12:19:22,18.69,8.818,8.785,8.102,8.412
3639,26-06-2024,12:19:26,18.687,8.812,8.787,8.104,8.414
3640,26-06-2024,12:19:30,18.689,8.819,8.793,8.107,8.41
3641,26-06-2024,12:19:34,18.69,8.817,8.79,8.113,8.413
3642,26-06-2024,12:19:38,18.691,8.815,8.79,8.122,8.41
3643,26-06-2024,12:19:42,18.691,8.811,8.797,8.126,8.413
3644,26-06-2024,12:19:46,18.69,8.815,8.801,8.13,8.413
3645,26-06-2024,12:19:50,18.696,8.817,8.797,8.135,8.417
3646,26-06-2024,12:19:54,18.695,8.817,8.798,8.139,8.416
3647,26-06-2024,12:19:58,18.696,8.826,8.798,8.146,8.416
3648,26-06-2024,12:20:02,18.695,8.828,8.799,8.153,8.418
3649,26-06-2024,12:20:06,18.696,8.829,8.797,8.16,8.419
3650,26-06-2024,12:20:10,18.699,8.829,8.804,8.169,8.421
3651,26-06-2024,12:20:14,18.697,8.825,8.801,8.172,8.425
3652,26-06-2024,12:20:18,18.699,8.816,8.798,8.172,8.421
3653,26-06-2024,12:20:22,18.7,8.83,8.803,8.177,8.419
3654,26-06-2024,12:20:26,18.699,8.833,8.806,8.186,8.426
3655,26-06-2024,12:20:30,18.698,8.829,8.81,8.19,8.427
3656,26-06-2024,12:20:34,18.696,8.836,8.809,8.194,8.428
3657,26-06-2024,12:20:38,18.697,8.828,8.807,8.203,8.434
3658,26-06-2024,12:20:42,18.703,8.83,8.807,8.201,8.429
3659,26-06-2024,12:20:46,18.697,8.83,8.819,8.213,8.43
3660,26-06-2024,12:20:50,18.703,8.833,8.809,8.215,8.426
3661,26-06-2024,12:20:54,18.705,8.835,8.817,8.224,8.436
3662,26-06-2024,12:20:58,18.703,8.831,8.811,8.221,8.426
3663,26-06-2024,12:21:02,18.702,8.842,8.813,8.228,8.433
3664,26-06-2024,12:21:06,18.704,8.839,8.814,8.236,8.436
3665,26-06-2024,12:21:10,18.706,8.834,8.82,8.239,8.431
3666,26-06-2024,12:21:14,18.706,8.831,8.821,8.246,8.435
3667,26-06-2024,12:21:18,18.708,8.839,8.826,8.246,8.435
3668,26-06-2024,12:21:22,18.707,8.838,8.821,8.258,8.437
3669,26-06-2024,12:21:26,18.704,8.827,8.811,8.263,8.439
3670,26-06-2024,12:21:30,18.705,8.833,8.821,8.268,8.447
3671,26-06-2024,12:21:34,18.709,8.827,8.828,8.273,8.444
3672,26-06-2024,12:21:38,18.708,8.835,8.823,8.274,8.444
3673,26-06-2024,12:21:42,18.709,8.835,8.834,8.276,8.443
3674,26-06-2024,12:21:46,18.707,8.837,8.827,8.284,8.445
3675,26-06-2024,12:21:50,18.708,8.833,8.825,8.289,8.447
3676,26-06-2024,12:21:54,18.71,8.832,8.828,8.288,8.444
3677,26-06-2024,12:21:58,18.71,8.837,8.826,8.294,8.446
3678,26-06-2024,12:22:02,18.711,8.83,8.834,8.301,8.447
3679,26-06-2024,12:22:06,18.711,8.839,8.841,8.3,8.453
3680,26-06-2024,12:22:10,18.712,8.83,8.834,8.314,8.453
3681,26-06-2024,12:22:14,18.715,8.83,8.846,8.314,8.446
3682,26-06-2024,12:22:18,18.718,8.828,8.839,8.311,8.45
3683,26-06-2024,12:22:22,18.715,8.828,8.835,8.319,8.452
3684,26-06-2024,12:22:26,18.715,8.836,8.842,8.324,8.447
3685,26-06-2024,12:22:30,18.717,8.836,8.839,8.331,8.452
3686,26-06-2024,12:22:34,18.713,8.83,8.85,8.332,8.459
3687,26-06-2024,12:22:38,18.714,8.835,8.847,8.335,8.463
3688,26-06-2024,12:22:42,18.72,8.831,8.841,8.345,8.449
3689,26-06-2024,12:22:46,18.719,8.83,8.845,8.348,8.456
3690,26-06-2024,12:22:50,18.719,8.832,8.855,8.348,8.455
3691,26-06-2024,12:22:54,18.721,8.838,8.85,8.351,8.458
3692,26-06-2024,12:22:58,18.72,8.829,8.86,8.355,8.464
3693,26-06-2024,12:23:02,18.721,8.833,8.851,8.358,8.465
3694,26-06-2024,12:23:06,18.724,8.83,8.855,8.361,8.456
3695,26-06-2024,12:23:10,18.72,8.836,8.856,8.37,8.464
3696,26-06-2024,12:23:14,18.724,8.836,8.861,8.372,8.466
3697,26-06-2024,12:23:18,18.723,8.836,8.86,8.38,8.464
3698,26-06-2024,12:23:22,18.728,8.836,8.857,8.381,8.46
3699,26-06-2024,12:23:26,18.723,8.837,8.857,8.386,8.47
3700,26-06-2024,12:23:30,18.724,8.828,8.863,8.386,8.466
3701,26-06-2024,12:23:34,18.724,8.837,8.863,8.395,8.475
3702,26-06-2024,12:23:38,18.724,8.837,8.865,8.394,8.469
3703,26-06-2024,12:23:42,18.725,8.84,8.867,8.4,8.469
3704,26-06-2024,12:23:46,18.72,8.838,8.865,8.403,8.47
3705,26-06-2024,12:23:50,18.725,8.841,8.867,8.402,8.474
3706,26-06-2024,12:23:54,18.726,8.846,8.865,8.403,8.469
3707,26-06-2024,12:23:58,18.729,8.843,8.87,8.411,8.474
3708,26-06-2024,12:24:02,18.728,8.843,8.877,8.413,8.475
3709,26-06-2024,12:24:06,18.73,8.838,8.866,8.419,8.484
3710,26-06-2024,12:24:10,18.729,8.841,8.87,8.42,8.478
3711,26-06-2024,12:24:14,18.73,8.841,8.875,8.427,8.482
3712,26-06-2024,12:24:18,18.728,8.846,8.88,8.428,8.485
3713,26-06-2024,12:24:22,18.732,8.856,8.879,8.429,8.49
3714,26-06-2024,12:24:26,18.73,8.848,8.883,8.435,8.498
3715,26-06-2024,12:24:30,18.733,8.848,8.88,8.439,8.496
3716,26-06-2024,12:24:34,18.731,8.853,8.883,8.444,8.494
3717,26-06-2024,12:24:38,18.733,8.855,8.889,8.445,8.503
3718,26-06-2024,12:24:42,18.733,8.855,8.873,8.446,8.507
3719,26-06-2024,12:24:46,18.733,8.855,8.883,8.452,8.507
3720,26-06-2024,12:24:50,18.731,8.848,8.89,8.462,8.514
3721,26-06-2024,12:24:54,18.733,8.856,8.88,8.455,8.507
3722,26-06-2024,12:24:58,18.738,8.856,8.881,8.455,8.511
3723,26-06-2024,12:25:02,18.734,8.856,8.884,8.457,8.512
3724,26-06-2024,12:25:06,18.738,8.862,8.888,8.465,8.512
3725,26-06-2024,12:25:10,18.74,8.863,8.889,8.469,8.51
3726,26-06-2024,12:25:14,18.734,8.864,8.896,8.473,8.518
3727,26-06-2024,12:25:18,18.739,8.868,8.891,8.477,8.518
3728,26-06-2024,12:25:22,18.737,8.871,8.893,8.482,8.516
3729,26-06-2024,12:25:26,18.741,8.867,8.894,8.478,8.515
3730,26-06-2024,12:25:30,18.74,8.868,8.901,8.485,8.518
3731,26-06-2024,12:25:34,18.742,8.868,8.897,8.485,8.518
3732,26-06-2024,12:25:38,18.74,8.875,8.896,8.49,8.521
3733,26-06-2024,12:25:42,18.743,8.868,8.899,8.491,8.526
3734,26-06-2024,12:25:46,18.741,8.876,8.901,8.489,8.522
3735,26-06-2024,12:25:50,18.743,8.872,8.893,8.5,8.524
3736,26-06-2024,12:25:54,18.741,8.877,8.895,8.5,8.521
3737,26-06-2024,12:25:58,18.745,8.877,8.895,8.506,8.519
3738,26-06-2024,12:26:02,18.745,8.879,8.901,8.506,8.521
3739,26-06-2024,12:26:06,18.746,8.885,8.894,8.506,8.53
3740,26-06-2024,12:26:10,18.746,8.888,8.901,8.501,8.531
3741,26-06-2024,12:26:14,18.747,8.884,8.904,8.51,8.535
3742,26-06-2024,12:26:18,18.747,8.881,8.899,8.511,8.531
3743,26-06-2024,12:26:22,18.751,8.887,8.905,8.519,8.529
3744,26-06-2024,12:26:26,18.749,8.889,8.902,8.521,8.534
3745,26-06-2024,12:26:30,18.749,8.894,8.913,8.521,8.536
3746,26-06-2024,12:26:34,18.75,8.899,8.907,8.528,8.53
3747,26-06-2024,12:26:38,18.751,8.897,8.908,8.531,8.534
3748,26-06-2024,12:26:42,18.751,8.904,8.91,8.522,8.533
3749,26-06-2024,12:26:46,18.751,8.902,8.913,8.538,8.527
3750,26-06-2024,12:26:50,18.748,8.905,8.912,8.533,8.532
3751,26-06-2024,12:26:54,18.754,8.908,8.91,8.533,8.536
3752,26-06-2024,12:26:58,18.754,8.908,8.909,8.534,8.535
3753,26-06-2024,12:27:02,18.749,8.915,8.92,8.537,8.541
3754,26-06-2024,12:27:06,18.75,8.916,8.915,8.543,8.538
3755,26-06-2024,12:27:10,18.754,8.92,8.91,8.548,8.536
3756,26-06-2024,12:27:14,18.754,8.917,8.915,8.544,8.54
3757,26-06-2024,12:27:18,18.752,8.926,8.918,8.547,8.533
3758,26-06-2024,12:27:22,18.752,8.918,8.922,8.553,8.537
3759,26-06-2024,12:27:26,18.755,8.917,8.922,8.553,8.537
3760,26-06-2024,12:27:30,18.753,8.916,8.915,8.556,8.533
3761,26-06-2024,12:27:34,18.76,8.919,8.919,8.554,8.532
3762,26-06-2024,12:27:38,18.76,8.925,8.918,8.562,8.538
3763,26-06-2024,12:27:42,18.76,8.92,8.923,8.563,8.535
3764,26-06-2024,12:27:46,18.761,8.926,8.916,8.567,8.536
3765,26-06-2024,12:27:50,18.76,8.929,8.922,8.572,8.542
3766,26-06-2024,12:27:54,18.762,8.924,8.928,8.564,8.54
3767,26-06-2024,12:27:58,18.76,8.935,8.925,8.569,8.541
3768,26-06-2024,12:28:02,18.76,8.94,8.925,8.576,8.54
3769,26-06-2024,12:28:06,18.762,8.936,8.926,8.576,8.546
3770,26-06-2024,12:28:10,18.766,8.936,8.919,8.57,8.545
3771,26-06-2024,12:28:14,18.763,8.935,8.929,8.575,8.542
3772,26-06-2024,12:28:18,18.765,8.939,8.927,8.576,8.549
3773,26-06-2024,12:28:22,18.764,8.941,8.925,8.582,8.542
3774,26-06-2024,12:28:26,18.761,8.947,8.934,8.582,8.549
3775,26-06-2024,12:28:30,18.764,8.941,8.934,8.585,8.549
3776,26-06-2024,12:28:34,18.766,8.947,8.93,8.581,8.549
3777,26-06-2024,12:28:38,18.767,8.949,8.929,8.587,8.548
3778,26-06-2024,12:28:42,18.769,8.955,8.922,8.589,8.544
3779,26-06-2024,12:28:46,18.769,8.955,8.93,8.589,8.547
3780,26-06-2024,12:28:50,18.765,8.945,8.934,8.59,8.546
3781,26-06-2024,12:28:54,18.769,8.958,8.931,8.591,8.553
3782,26-06-2024,12:28:58,18.767,8.964,8.935,8.587,8.547
3783,26-06-2024,12:29:02,18.768,8.959,8.935,8.593,8.552
3784,26-06-2024,12:29:06,18.769,8.956,8.929,8.591,8.556
3785,26-06-2024,12:29:10,18.77,8.965,8.935,8.595,8.556
3786,26-06-2024,12:29:14,18.773,8.967,8.935,8.6,8.557
3787,26-06-2024,12:29:18,18.774,8.971,8.926,8.602,8.555
3788,26-06-2024,12:29:22,18.772,8.968,8.93,8.604,8.554
3789,26-06-2024,12:29:26,18.774,8.972,8.934,8.599,8.555
3790,26-06-2024,12:29:30,18.774,8.972,8.934,8.605,8.557
3791,26-06-2024,12:29:34,18.772,8.973,8.939,8.607,8.554
3792,26-06-2024,12:29:38,18.776,8.973,8.943,8.61,8.555
3793,26-06-2024,12:29:42,18.774,8.969,8.936,8.609,8.554
3794,26-06-2024,12:29:46,18.774,8.976,8.94,8.604,8.559
